age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
25,Private,Assoc,Married,Wife,Professional,White,Female,7688,0,40,1
23,Private,Some-college,Single,Not-in-family,Service,White,Female,0,0,24,0
23,Other/Unknown,Some-college,Single,Own-child,Other/Unknown,White,Female,0,0,35,0
42,Private,Masters,Single,Not-in-family,White-Collar,White,Male,0,0,40,0
42,Private,Bachelors,Single,Not-in-family,Professional,White,Male,0,0,32,0
27,Private,Some-college,Single,Own-child,Service,White,Male,0,1721,20,0
34,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,55,0
20,Private,HS-grad,Single,Unmarried,Service,Amer-Indian-Eskimo,Female,0,0,35,0
63,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
79,Self-Employed,Assoc,Married,Husband,Sales,White,Male,0,0,20,1
30,Private,Assoc,Married,Husband,White-Collar,White,Male,0,0,35,1
69,Other/Unknown,Bachelors,Married,Husband,Other/Unknown,White,Male,0,0,20,0
24,Private,Some-college,Single,Other-relative,Sales,Asian-Pac-Islander,Male,0,0,20,0
52,Government,Masters,Divorced,Not-in-family,White-Collar,White,Female,4787,0,60,1
34,Private,Some-college,Married,Husband,White-Collar,White,Male,7298,0,40,1
48,Government,Bachelors,Separated,Unmarried,Professional,White,Female,914,0,40,0
23,Private,Assoc,Married,Wife,Service,White,Female,0,0,40,0
61,Private,Bachelors,Divorced,Unmarried,Sales,White,Male,0,0,40,0
30,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,50,0
41,Private,School,Single,Not-in-family,Blue-Collar,White,Male,0,0,40,0
34,Private,School,Single,Unmarried,Service,Black,Female,0,0,40,0
46,Private,Some-college,Single,Own-child,White-Collar,Black,Female,0,0,36,0
22,Private,Bachelors,Single,Not-in-family,Professional,White,Male,0,0,40,0
36,Other/Unknown,Bachelors,Single,Own-child,Other/Unknown,White,Female,0,0,40,0
26,Private,Bachelors,Married,Husband,Professional,White,Male,0,0,50,1
28,Government,Assoc,Single,Not-in-family,White-Collar,White,Female,0,1980,40,0
68,Other/Unknown,HS-grad,Married,Husband,Other/Unknown,White,Male,0,0,25,0
25,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
35,Private,Bachelors,Single,Own-child,White-Collar,Black,Female,0,0,40,0
51,Government,Bachelors,Married,Husband,Professional,Black,Male,0,0,40,0
62,Private,Bachelors,Married,Husband,Sales,White,Male,2829,0,28,0
51,Private,HS-grad,Married,Unmarried,Service,White,Female,0,0,40,0
