age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
53,Self-Employed,Assoc,Single,Not-in-family,White-Collar,White,Male,0,1876,50,0
45,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
60,Private,Some-college,Married,Husband,Blue-Collar,Amer-Indian-Eskimo,Male,0,0,40,0
54,Government,School,Married,Husband,Service,White,Male,0,0,40,0
31,Private,School,Married,Wife,Sales,White,Female,0,0,20,0
49,Self-Employed,Some-college,Married,Husband,Sales,White,Male,0,0,25,0
53,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
32,Other/Unknown,HS-grad,Married,Wife,Other/Unknown,White,Female,0,0,2,1
25,Private,Bachelors,Single,Own-child,Service,White,Female,2463,0,30,0
28,Private,Bachelors,Married,Husband,Sales,White,Male,0,0,50,1
34,Private,HS-grad,Divorced,Not-in-family,Service,White,Female,0,0,38,0
27,Private,School,Single,Other-relative,Sales,White,Male,0,1980,40,0
54,Government,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,1
53,Self-Employed,Bachelors,Married,Husband,White-Collar,Asian-Pac-Islander,Male,7688,0,20,1
23,Private,Some-college,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
19,Private,HS-grad,Single,Own-child,White-Collar,White,Female,0,0,15,0
29,Private,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,40,0
29,Private,Some-college,Single,Not-in-family,Professional,White,Male,0,0,45,0
23,Private,Some-college,Single,Own-child,White-Collar,White,Male,0,0,40,0
72,Self-Employed,Bachelors,Widowed,Not-in-family,Blue-Collar,White,Male,0,0,40,1
20,Government,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,10,0
30,Private,Some-college,Single,Not-in-family,Sales,White,Male,0,0,40,0
41,Private,Bachelors,Widowed,Unmarried,White-Collar,White,Male,0,0,20,0
25,Private,HS-grad,Single,Not-in-family,Blue-Collar,White,Male,0,0,50,0
57,Private,HS-grad,Married,Husband,Sales,White,Male,0,0,40,1
46,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,1672,50,0
52,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,20,1
38,Self-Employed,Some-college,Separated,Not-in-family,Sales,Asian-Pac-Islander,Male,0,0,60,0
60,Private,School,Divorced,Not-in-family,Service,White,Female,0,0,40,0
59,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
43,Private,Masters,Married,Husband,Service,Asian-Pac-Islander,Male,0,0,40,1
21,Private,Assoc,Single,Not-in-family,Professional,White,Female,0,0,40,0
