age,workclass,education,marital_status,relationship,occupation,race,gender,capital_gain,capital_loss,hours_per_week,income
19,Private,Some-college,Single,Own-child,Service,White,Male,0,0,30,0
60,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,45,1
52,Private,Some-college,Divorced,Not-in-family,White-Collar,White,Female,0,0,60,0
53,Private,HS-grad,Married,Husband,Professional,White,Male,0,0,43,1
61,Self-Employed,Masters,Widowed,Unmarried,White-Collar,White,Female,0,0,99,0
32,Self-Employed,Bachelors,Married,Husband,Sales,White,Male,0,0,40,0
39,Government,Some-college,Married,Husband,Sales,White,Male,0,0,40,0
39,Private,Masters,Single,Not-in-family,White-Collar,White,Male,0,0,50,1
35,Other/Unknown,School,Divorced,Unmarried,Other/Unknown,Amer-Indian-Eskimo,Female,0,0,6,0
36,Private,Bachelors,Married,Husband,Sales,White,Male,0,0,50,1
52,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,60,0
49,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,46,0
38,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
31,Private,HS-grad,Single,Own-child,Blue-Collar,Black,Male,0,0,40,0
51,Government,HS-grad,Married,Wife,White-Collar,White,Female,0,0,40,0
43,Private,HS-grad,Divorced,Unmarried,Service,Asian-Pac-Islander,Male,5721,0,40,0
38,Self-Employed,HS-grad,Married,Unmarried,Blue-Collar,White,Male,0,0,60,0
29,Private,Bachelors,Single,Not-in-family,Professional,White,Female,0,0,40,0
23,Private,Some-college,Single,Own-child,Professional,White,Male,0,0,52,0
30,Private,Bachelors,Single,Own-child,White-Collar,Asian-Pac-Islander,Female,0,0,52,0
44,Private,Some-college,Divorced,Not-in-family,White-Collar,Asian-Pac-Islander,Male,0,0,40,0
47,Other/Unknown,HS-grad,Married,Husband,Other/Unknown,White,Male,0,0,40,0
35,Self-Employed,Bachelors,Separated,Not-in-family,Blue-Collar,White,Male,0,0,65,0
24,Private,Bachelors,Single,Own-child,Blue-Collar,White,Male,0,0,20,0
18,Private,Some-college,Single,Own-child,Service,White,Female,0,0,15,0
23,Government,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
24,Private,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,45,0
49,Other/Unknown,Some-college,Married,Husband,Other/Unknown,White,Male,0,0,20,1
64,Other/Unknown,Some-college,Widowed,Unmarried,Other/Unknown,White,Female,0,0,8,0
41,Self-Employed,School,Married,Husband,Blue-Collar,White,Male,0,2179,40,0
20,Private,HS-grad,Single,Own-child,Sales,White,Female,0,0,30,0
39,Private,Masters,Married,Husband,Blue-Collar,White,Male,0,0,40,0
51,Private,Masters,Widowed,Unmarried,White-Collar,White,Male,15020,0,40,1
34,Self-Employed,Bachelors,Married,Husband,Professional,White,Male,0,0,60,1
18,Self-Employed,School,Single,Own-child,Sales,White,Male,0,0,15,0
46,Private,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,40,0
60,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Female,0,0,38,0
44,Private,Doctorate,Married,Husband,Professional,White,Male,0,0,50,0
38,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,50,0
42,Self-Employed,Bachelors,Married,Husband,Professional,White,Male,0,0,21,0
68,Government,HS-grad,Widowed,Not-in-family,Service,White,Male,0,1668,20,0
29,Private,Bachelors,Single,Own-child,Sales,White,Male,0,0,40,0
19,Private,HS-grad,Single,Other-relative,Service,Black,Male,0,0,40,0
17,Private,School,Single,Not-in-family,Service,White,Male,0,0,20,0
90,Other/Unknown,School,Widowed,Not-in-family,Other/Unknown,Black,Female,0,0,40,0
31,Private,School,Single,Not-in-family,Blue-Collar,Other,Male,0,0,45,0
36,Private,Bachelors,Single,Not-in-family,Sales,White,Female,0,0,20,0
40,Private,School,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
43,Private,Bachelors,Married,Husband,White-Collar,White,Male,15024,0,50,1
38,Private,Some-college,Separated,Not-in-family,Service,White,Female,4650,0,72,0
28,Private,Bachelors,Single,Not-in-family,Service,White,Female,0,0,35,0
19,Private,School,Single,Other-relative,Service,White,Female,34095,0,24,0
35,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
34,Private,Some-college,Married,Husband,Service,Black,Male,0,0,40,1
46,Self-Employed,HS-grad,Separated,Unmarried,Blue-Collar,White,Male,0,0,40,0
37,Self-Employed,Bachelors,Married,Husband,Sales,White,Male,15024,0,50,1
43,Private,Some-college,Married,Wife,White-Collar,White,Female,4064,0,15,0
59,Self-Employed,Prof-school,Married,Husband,Professional,White,Male,0,0,40,1
52,Private,Some-college,Divorced,Not-in-family,Professional,White,Male,0,0,40,1
53,Private,HS-grad,Divorced,Not-in-family,Sales,White,Female,0,0,40,0
27,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
19,Private,Some-college,Single,Own-child,Sales,White,Female,0,0,20,0
33,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
42,Private,Bachelors,Married,Husband,Professional,White,Male,0,0,40,0
42,Private,Masters,Married,Husband,White-Collar,White,Male,0,0,40,1
31,Private,HS-grad,Single,Unmarried,Blue-Collar,White,Male,0,0,45,0
20,Other/Unknown,School,Divorced,Not-in-family,Other/Unknown,White,Female,0,0,40,0
57,Other/Unknown,Some-college,Married,Husband,Other/Unknown,White,Male,0,0,50,0
30,Private,Bachelors,Married,Husband,Professional,White,Male,15024,0,35,1
36,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
27,Private,HS-grad,Single,Not-in-family,Professional,White,Male,0,2444,40,1
39,Private,Bachelors,Married,Not-in-family,Professional,White,Male,0,0,60,0
29,Private,HS-grad,Divorced,Unmarried,Blue-Collar,White,Male,0,0,40,0
48,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
63,Private,HS-grad,Widowed,Unmarried,Service,White,Female,0,0,24,0
48,Private,Some-college,Divorced,Unmarried,Blue-Collar,White,Male,0,0,40,0
40,Private,HS-grad,Divorced,Not-in-family,White-Collar,White,Female,0,0,40,0
37,Private,Assoc,Married,Husband,Blue-Collar,White,Male,0,0,45,0
44,Private,School,Married,Wife,Service,White,Female,0,0,55,0
32,Private,Some-college,Single,Not-in-family,Service,Black,Male,0,0,38,0
31,Private,Some-college,Separated,Not-in-family,Sales,White,Male,2174,0,52,0
44,Self-Employed,Bachelors,Married,Husband,Blue-Collar,White,Male,0,0,50,1
42,Private,HS-grad,Married,Husband,Service,Black,Male,0,0,40,0
25,Government,Bachelors,Single,Not-in-family,Professional,White,Female,0,0,50,1
25,Other/Unknown,School,Separated,Unmarried,Other/Unknown,White,Female,0,0,30,0
45,Private,School,Married,Husband,Blue-Collar,White,Male,0,0,40,0
62,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,1
28,Private,HS-grad,Married,Husband,White-Collar,Black,Male,0,0,40,0
57,Private,Some-college,Married,Husband,White-Collar,White,Male,0,0,50,1
53,Government,HS-grad,Married,Husband,White-Collar,White,Male,15024,0,35,1
52,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,1
58,Private,School,Married,Husband,Service,White,Male,0,0,20,0
34,Private,HS-grad,Single,Not-in-family,Sales,White,Male,0,0,50,0
24,Private,Bachelors,Single,Own-child,White-Collar,White,Male,0,0,40,0
44,Private,Masters,Married,Husband,Professional,White,Male,0,0,40,1
34,Private,Assoc,Single,Not-in-family,Service,White,Female,0,1974,40,0
36,Private,HS-grad,Married,Husband,White-Collar,White,Male,0,0,50,0
22,Private,School,Married,Husband,Service,White,Male,0,0,40,0
50,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,50,0
30,Private,Some-college,Single,Unmarried,White-Collar,Black,Female,0,0,40,0
20,Private,Some-college,Single,Own-child,Blue-Collar,White,Male,0,0,23,0
37,Private,Bachelors,Married,Husband,White-Collar,White,Male,5178,0,40,1
30,Government,Assoc,Married,Husband,Service,White,Male,0,0,40,0
41,Private,HS-grad,Single,Not-in-family,Service,Asian-Pac-Islander,Female,0,0,40,0
58,Private,HS-grad,Single,Unmarried,White-Collar,White,Female,0,0,40,0
23,Private,HS-grad,Single,Not-in-family,Service,White,Female,0,0,40,0
31,Government,Bachelors,Single,Not-in-family,White-Collar,Black,Female,0,0,40,0
46,Self-Employed,Prof-school,Married,Husband,Professional,White,Male,15024,0,60,1
21,Government,Some-college,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
33,Self-Employed,School,Married,Husband,Blue-Collar,White,Male,0,0,50,0
43,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,1
68,Self-Employed,HS-grad,Widowed,Not-in-family,Blue-Collar,White,Female,0,0,35,0
27,Self-Employed,School,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
54,Self-Employed,Assoc,Married,Husband,Sales,White,Male,0,0,50,1
24,Other/Unknown,HS-grad,Single,Not-in-family,Other/Unknown,White,Female,0,0,30,0
79,Private,HS-grad,Married,Husband,Professional,White,Male,0,0,7,0
59,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,42,1
58,Private,Some-college,Single,Not-in-family,White-Collar,White,Female,0,0,39,0
46,Private,Assoc,Divorced,Unmarried,Blue-Collar,White,Male,0,0,40,0
46,Private,Assoc,Married,Husband,Blue-Collar,White,Male,0,0,40,0
37,Private,Bachelors,Separated,Not-in-family,Service,White,Male,0,0,70,0
33,Private,Some-college,Married,Husband,Sales,White,Male,0,0,20,0
44,Private,Some-college,Divorced,Unmarried,Blue-Collar,White,Male,0,0,35,0
41,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
23,Private,HS-grad,Single,Not-in-family,Sales,White,Male,0,0,40,0
25,Private,HS-grad,Separated,Unmarried,Service,Black,Male,0,0,40,0
51,Other/Unknown,HS-grad,Widowed,Not-in-family,Other/Unknown,Amer-Indian-Eskimo,Female,0,0,20,0
82,Other/Unknown,HS-grad,Single,Not-in-family,Other/Unknown,White,Male,0,0,3,0
32,Government,Some-college,Married,Husband,Service,White,Male,0,0,40,1
29,Self-Employed,Some-college,Single,Not-in-family,Blue-Collar,White,Male,0,0,45,0
36,Private,HS-grad,Single,Own-child,White-Collar,Black,Male,0,0,40,0
19,Other/Unknown,School,Single,Own-child,Other/Unknown,Black,Male,0,0,25,0
38,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,55,0
37,Private,HS-grad,Single,Own-child,Blue-Collar,White,Male,0,0,40,0
37,Other/Unknown,Some-college,Married,Husband,Other/Unknown,White,Male,0,0,30,0
19,Private,HS-grad,Single,Own-child,White-Collar,White,Female,0,0,20,0
27,Government,Bachelors,Single,Not-in-family,Professional,White,Male,0,0,9,0
23,Private,Assoc,Single,Own-child,Sales,White,Female,0,0,40,0
40,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,65,1
64,Other/Unknown,School,Married,Husband,Other/Unknown,White,Male,0,0,50,1
29,Private,Bachelors,Married,Husband,White-Collar,White,Male,0,0,40,0
39,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,1
28,Private,Some-college,Single,Not-in-family,White-Collar,White,Male,0,0,40,0
26,Private,HS-grad,Divorced,Not-in-family,Blue-Collar,White,Male,0,0,40,0
54,Self-Employed,HS-grad,Widowed,Not-in-family,Blue-Collar,White,Male,0,2001,35,0
21,Other/Unknown,Assoc,Single,Own-child,Other/Unknown,White,Female,0,0,40,0
36,Private,Some-college,Divorced,Unmarried,Sales,White,Female,0,0,40,0
46,Private,HS-grad,Divorced,Unmarried,White-Collar,White,Female,0,0,40,0
48,Private,Bachelors,Divorced,Unmarried,White-Collar,White,Female,0,0,48,0
77,Private,Some-college,Widowed,Not-in-family,Service,White,Female,0,0,20,0
23,Private,HS-grad,Married,Other-relative,Blue-Collar,White,Male,0,0,40,0
42,Government,Bachelors,Divorced,Not-in-family,Professional,White,Female,0,0,50,0
61,Private,Some-college,Married,Husband,White-Collar,White,Male,0,0,40,1
32,Self-Employed,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,30,0
50,Private,Some-college,Married,Husband,Sales,White,Male,0,0,60,0
42,Private,HS-grad,Divorced,Unmarried,Service,Black,Male,0,0,35,0
43,Private,Masters,Married,Husband,Professional,White,Male,0,1902,40,1
30,Private,HS-grad,Married,Husband,Professional,White,Male,0,0,35,1
53,Private,School,Married,Husband,Blue-Collar,Black,Male,0,0,40,0
64,Other/Unknown,HS-grad,Widowed,Other-relative,Other/Unknown,Black,Male,0,0,40,0
36,Self-Employed,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,1
48,Private,HS-grad,Divorced,Not-in-family,Service,White,Female,0,0,40,0
19,Private,School,Single,Other-relative,Service,White,Male,0,0,20,0
18,Self-Employed,School,Single,Own-child,Blue-Collar,White,Male,0,0,24,0
43,Private,Bachelors,Single,Not-in-family,Professional,Asian-Pac-Islander,Male,0,2258,50,1
29,Private,Masters,Single,Not-in-family,Professional,White,Male,0,0,40,0
56,Private,School,Divorced,Unmarried,Service,Black,Female,0,0,45,0
46,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
30,Private,Some-college,Married,Husband,Blue-Collar,White,Male,0,0,56,1
30,Private,Some-college,Single,Own-child,Sales,White,Male,0,0,20,0
47,Government,Bachelors,Married,Husband,Service,White,Male,0,0,40,0
68,Private,HS-grad,Widowed,Not-in-family,Blue-Collar,White,Female,3273,0,42,0
23,Other/Unknown,Assoc,Single,Own-child,Other/Unknown,White,Male,0,1721,20,0
33,Self-Employed,School,Married,Husband,White-Collar,White,Male,0,0,70,0
61,Private,School,Widowed,Unmarried,Service,Black,Female,0,0,38,0
46,Private,HS-grad,Married,Husband,Blue-Collar,White,Male,0,0,40,0
33,Other/Unknown,School,Single,Not-in-family,Other/Unknown,White,Female,0,0,40,0
