age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
age:30-60,technician,married,professional.course,yes,no,no,telephone,may,mon,127,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,single,basic.9y,no,no,yes,telephone,may,wed,181,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,retired,divorced,basic.9y,no,yes,no,cellular,jul,fri,247,2,0,no,failure,2.9,156,33.6,1,5076.2,1
age:30-60,technician,single,professional.course,no,no,no,cellular,oct,thu,212,2,0,no,failure,1.1,178,49.5,1,4963.6,1
age:30-60,management,married,university.degree,yes,no,yes,cellular,apr,fri,76,1,0,yes,failure,1.8,162,47.1,1,5099.1,0
age:30-60,management,married,university.degree,no,yes,no,cellular,jul,mon,1397,3,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,services,married,basic.6y,no,yes,no,cellular,aug,thu,160,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,single,high.school,no,yes,yes,telephone,may,thu,33,7,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,married,professional.course,yes,yes,no,cellular,aug,wed,132,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:not30-60,admin.,married,university.degree,no,yes,no,cellular,aug,fri,58,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,housemaid,married,basic.4y,no,no,no,cellular,jul,mon,262,4,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,married,high.school,no,yes,no,telephone,jun,fri,21,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:not30-60,admin.,single,high.school,no,yes,yes,cellular,may,thu,99,7,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.9y,no,no,yes,telephone,jun,tue,110,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,management,divorced,university.degree,yes,yes,no,cellular,jul,thu,489,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,retired,married,high.school,yes,yes,no,telephone,jun,fri,1094,3,0,no,failure,0.00014,176,41.8,4,5228.1,1
age:30-60,unemployed,divorced,basic.4y,no,no,yes,telephone,jun,fri,19,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:not30-60,retired,divorced,basic.6y,no,no,no,cellular,oct,fri,631,2,0,yes,failure,3.4,156,26.9,0,5017.5,0
age:30-60,management,divorced,university.degree,no,yes,no,telephone,may,fri,29,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,married,university.degree,no,yes,no,cellular,may,mon,61,3,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,services,married,basic.9y,no,yes,no,cellular,jul,tue,163,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,married,basic.9y,no,no,no,telephone,may,thu,514,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,technician,single,professional.course,no,yes,no,cellular,nov,wed,238,2,6,yes,success,3.4,158,30.1,0,5017.5,1
age:30-60,services,single,unknown,yes,no,no,cellular,jul,tue,981,1,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,retired,divorced,professional.course,no,yes,no,cellular,nov,fri,321,3,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:30-60,admin.,single,high.school,no,yes,no,telephone,may,fri,289,8,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.4y,no,no,no,cellular,nov,wed,209,3,0,no,failure,0.1,164,42.0,4,5195.8,0
age:not30-60,services,married,university.degree,no,no,no,cellular,may,tue,223,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,195,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,married,university.degree,no,yes,no,telephone,may,thu,197,9,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,entrepreneur,married,university.degree,no,no,no,cellular,may,mon,181,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,self-employed,divorced,university.degree,no,yes,no,telephone,may,thu,229,4,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,single,high.school,no,no,no,cellular,jul,tue,161,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,yes,yes,no,cellular,jul,tue,87,8,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,management,married,basic.4y,no,yes,no,telephone,jun,mon,124,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,services,divorced,high.school,no,yes,no,telephone,may,wed,245,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,basic.9y,no,no,no,cellular,apr,fri,50,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,services,single,high.school,yes,yes,no,telephone,may,thu,334,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,basic.4y,no,yes,no,cellular,apr,wed,315,1,0,no,failure,1.8,162,47.1,1,5099.1,1
age:30-60,technician,married,university.degree,no,yes,no,telephone,nov,mon,275,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,married,professional.course,no,yes,no,telephone,nov,tue,164,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,management,single,university.degree,no,yes,no,cellular,mar,tue,427,3,0,no,failure,1.8,160,50.0,1,5099.1,1
age:30-60,admin.,married,university.degree,no,yes,no,cellular,jun,mon,288,1,0,no,failure,2.9,161,40.8,1,5076.2,1
age:30-60,management,divorced,university.degree,no,yes,no,telephone,may,thu,81,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,single,basic.9y,yes,no,yes,telephone,may,wed,408,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,retired,married,high.school,no,no,no,cellular,nov,mon,178,1,0,no,failure,3.4,158,30.1,0,5017.5,1
age:30-60,admin.,married,high.school,yes,yes,no,cellular,jul,mon,339,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,technician,divorced,professional.course,no,no,yes,cellular,jul,tue,500,1,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,technician,married,professional.course,no,yes,no,cellular,may,mon,90,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.4y,no,yes,no,cellular,nov,thu,138,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,entrepreneur,married,university.degree,no,no,no,telephone,jun,tue,52,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,yes,no,telephone,jun,mon,208,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,129,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,divorced,basic.9y,yes,yes,no,telephone,may,mon,185,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,unemployed,married,basic.9y,yes,yes,no,telephone,may,tue,66,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,single,high.school,no,no,no,cellular,apr,mon,121,2,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,married,basic.4y,no,yes,no,cellular,may,fri,460,3,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,self-employed,married,university.degree,no,no,no,telephone,may,wed,312,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,unemployed,single,university.degree,no,yes,no,telephone,jun,wed,150,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,divorced,basic.9y,no,yes,yes,telephone,jun,wed,121,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,services,single,university.degree,no,no,no,telephone,jun,fri,160,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,married,high.school,yes,no,no,cellular,jul,tue,201,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,yes,yes,no,telephone,jun,tue,327,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,married,professional.course,no,yes,no,telephone,jul,tue,307,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,single,high.school,no,yes,no,cellular,may,thu,70,3,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,admin.,married,university.degree,no,yes,no,cellular,may,mon,565,1,0,no,failure,1.8,160,46.2,1,5099.1,1
age:30-60,admin.,married,university.degree,no,yes,no,cellular,aug,wed,335,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,management,married,university.degree,no,yes,no,cellular,jul,mon,224,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,married,professional.course,no,no,no,telephone,jun,wed,462,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,single,professional.course,no,yes,no,telephone,jun,wed,1255,1,0,no,failure,0.00014,176,41.8,4,5228.1,1
