age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
age:30-60,technician,single,university.degree,no,no,no,cellular,apr,wed,87,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,technician,married,basic.9y,yes,no,no,telephone,jun,mon,362,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,basic.6y,no,no,no,telephone,jul,wed,292,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,married,professional.course,no,no,no,cellular,may,wed,194,4,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.6y,no,yes,no,cellular,may,thu,476,1,0,no,failure,1.8,160,46.2,1,5099.1,1
age:30-60,admin.,married,university.degree,yes,yes,no,cellular,jul,thu,101,9,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,basic.6y,no,yes,no,telephone,jun,thu,174,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,married,professional.course,no,yes,no,cellular,may,wed,248,1,3,yes,success,1.8,170,40.0,0,5008.7,1
age:30-60,admin.,married,high.school,no,yes,no,cellular,aug,tue,105,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,entrepreneur,married,university.degree,no,yes,yes,cellular,jul,mon,103,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,self-employed,single,unknown,no,yes,no,cellular,jul,tue,438,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,high.school,no,no,no,cellular,may,tue,252,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,single,basic.9y,yes,no,no,telephone,may,wed,194,4,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,married,high.school,no,yes,no,cellular,may,tue,108,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,entrepreneur,married,basic.6y,no,no,no,cellular,may,wed,119,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,services,divorced,high.school,no,yes,no,cellular,may,fri,548,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,entrepreneur,married,university.degree,yes,yes,yes,telephone,jun,thu,43,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,entrepreneur,married,university.degree,no,no,no,telephone,nov,mon,81,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:not30-60,admin.,single,university.degree,no,yes,no,cellular,sep,thu,420,1,1,yes,success,3.4,155,29.8,0,5017.5,0
age:not30-60,admin.,married,high.school,no,no,yes,cellular,jul,tue,165,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,blue-collar,single,professional.course,no,yes,yes,cellular,mar,tue,176,1,0,no,failure,1.8,165,34.8,0,5008.7,1
age:30-60,admin.,married,university.degree,no,yes,no,telephone,may,mon,261,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,married,high.school,no,yes,yes,cellular,may,fri,302,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,management,married,university.degree,yes,yes,no,cellular,aug,mon,261,4,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,self-employed,married,basic.4y,yes,no,no,telephone,may,wed,389,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,divorced,unknown,no,no,no,cellular,may,fri,405,3,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,divorced,professional.course,no,yes,no,telephone,may,wed,296,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,divorced,university.degree,yes,yes,no,cellular,may,fri,84,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,entrepreneur,married,university.degree,no,yes,yes,cellular,apr,thu,259,1,0,no,failure,1.8,162,47.1,1,5099.1,1
age:30-60,technician,single,university.degree,no,no,yes,cellular,aug,fri,140,7,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,married,university.degree,no,no,no,cellular,jun,wed,874,2,0,yes,failure,1.7,172,39.8,0,4991.6,1
age:30-60,blue-collar,single,basic.6y,no,yes,no,telephone,may,fri,331,6,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,self-employed,married,high.school,yes,no,no,cellular,apr,wed,743,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,admin.,single,university.degree,yes,yes,no,cellular,aug,fri,256,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,admin.,married,unknown,no,no,no,cellular,jul,thu,277,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,services,single,high.school,no,yes,yes,telephone,may,thu,151,7,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,university.degree,no,yes,no,cellular,may,mon,334,2,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,single,professional.course,no,no,no,cellular,may,tue,343,6,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.4y,yes,no,no,cellular,aug,fri,191,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,services,married,high.school,no,no,no,telephone,may,thu,178,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,basic.4y,no,no,no,cellular,may,tue,217,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,high.school,yes,no,no,cellular,apr,fri,239,1,0,yes,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,married,basic.9y,yes,yes,no,cellular,jul,tue,156,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,single,university.degree,no,no,no,cellular,aug,wed,823,1,0,no,failure,0.00014,166,36.1,4,5228.1,1
age:30-60,management,married,university.degree,no,yes,no,cellular,oct,tue,1226,2,0,no,failure,3.4,156,26.9,0,5017.5,1
age:not30-60,services,single,unknown,no,yes,no,cellular,jun,tue,318,1,0,no,failure,1.7,172,39.8,0,4991.6,1
age:30-60,management,divorced,university.degree,no,yes,no,cellular,sep,tue,337,1,6,yes,success,1.1,173,37.5,0,4963.6,1
age:not30-60,technician,married,university.degree,no,no,yes,cellular,jul,thu,525,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,divorced,unknown,yes,no,no,cellular,apr,wed,149,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,technician,married,basic.9y,no,yes,no,telephone,may,tue,420,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,married,university.degree,no,yes,no,cellular,jun,wed,175,3,0,no,failure,2.9,161,40.8,1,5076.2,0
age:30-60,admin.,single,university.degree,yes,no,no,telephone,jun,thu,17,16,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,no,yes,yes,cellular,may,thu,490,1,0,no,failure,1.8,160,46.2,1,5099.1,0
