age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
age:30-60,admin.,divorced,university.degree,no,yes,no,telephone,nov,mon,110,2,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,unemployed,married,basic.9y,no,yes,no,cellular,apr,thu,229,1,6,yes,success,1.8,169,34.6,0,5008.7,1
age:30-60,unemployed,divorced,high.school,no,no,no,telephone,jul,thu,10,1,0,no,failure,1.7,174,40.3,0,4991.6,0
age:30-60,blue-collar,married,basic.4y,yes,no,no,cellular,jul,thu,484,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,services,single,high.school,no,yes,no,telephone,jun,wed,221,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,divorced,professional.course,no,no,no,cellular,nov,mon,104,1,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:not30-60,technician,single,professional.course,no,yes,no,cellular,aug,thu,64,1,0,no,failure,2.9,154,31.4,0,5076.2,0
age:30-60,admin.,married,basic.9y,yes,no,no,cellular,may,tue,349,2,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,student,single,high.school,no,no,no,cellular,apr,thu,86,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,management,married,basic.9y,yes,no,no,cellular,apr,tue,584,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,married,basic.9y,yes,no,no,cellular,jul,fri,78,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,married,professional.course,no,no,no,cellular,oct,wed,311,1,3,yes,success,1.1,178,49.5,0,4963.6,1
age:30-60,services,married,basic.4y,no,yes,yes,telephone,jun,mon,59,6,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,entrepreneur,divorced,high.school,yes,yes,no,telephone,may,mon,250,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,blue-collar,married,basic.9y,no,no,yes,telephone,may,fri,1064,4,0,no,failure,0.00011,171,36.4,4,5191.0,1
age:30-60,self-employed,married,university.degree,no,no,no,cellular,jul,wed,673,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,wed,135,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,retired,divorced,basic.9y,yes,no,no,cellular,nov,tue,198,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,management,married,university.degree,no,no,no,telephone,may,wed,90,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,entrepreneur,married,basic.6y,yes,no,no,telephone,may,tue,77,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,married,university.degree,no,yes,no,cellular,aug,thu,136,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,single,professional.course,no,no,no,cellular,jul,wed,361,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,retired,married,high.school,yes,yes,no,cellular,nov,tue,121,3,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,married,professional.course,no,yes,no,cellular,jul,fri,252,6,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,single,university.degree,no,yes,no,cellular,aug,wed,82,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,admin.,married,university.degree,no,yes,no,telephone,jun,fri,145,1,0,no,failure,2.9,161,40.8,1,5076.2,0
age:30-60,admin.,single,professional.course,no,yes,no,telephone,aug,mon,25,1,0,no,failure,1.7,172,38.3,0,4991.6,0
age:30-60,blue-collar,married,high.school,yes,no,yes,telephone,may,thu,109,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,single,basic.4y,yes,no,no,cellular,jul,wed,104,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,high.school,yes,no,no,telephone,may,tue,178,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,divorced,high.school,no,no,no,telephone,jun,mon,163,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,married,university.degree,no,no,no,cellular,jul,fri,143,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,single,high.school,no,no,no,cellular,sep,thu,134,1,0,no,failure,1.1,173,37.5,0,4963.6,0
age:30-60,housemaid,married,high.school,no,yes,no,cellular,jul,mon,109,8,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,single,professional.course,no,yes,no,cellular,may,tue,83,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,technician,single,high.school,no,yes,no,telephone,jun,wed,6,1,0,no,failure,1.7,172,39.8,0,4991.6,0
age:30-60,admin.,married,university.degree,no,yes,no,cellular,aug,mon,226,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,yes,yes,no,cellular,aug,mon,315,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,divorced,university.degree,no,yes,yes,telephone,jun,fri,188,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,management,divorced,university.degree,no,no,no,cellular,sep,fri,164,5,3,yes,success,1.1,173,37.5,0,4963.6,1
age:30-60,technician,married,basic.9y,yes,no,no,telephone,jun,thu,246,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,services,married,high.school,no,yes,yes,cellular,nov,wed,69,1,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:30-60,management,married,university.degree,no,yes,no,cellular,may,thu,162,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,housemaid,married,university.degree,no,no,no,telephone,may,thu,665,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,student,married,university.degree,no,no,no,cellular,jun,fri,191,1,0,no,failure,2.9,161,40.8,1,5076.2,1
age:30-60,technician,single,professional.course,no,no,no,cellular,apr,thu,121,1,0,yes,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,single,high.school,no,no,yes,telephone,may,mon,389,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,unknown,high.school,no,no,no,cellular,may,tue,516,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,admin.,divorced,basic.9y,no,yes,no,cellular,nov,wed,134,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,blue-collar,single,basic.6y,yes,no,yes,cellular,jul,fri,184,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,single,basic.6y,yes,yes,no,telephone,may,thu,275,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,divorced,professional.course,no,yes,no,cellular,jul,wed,118,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,self-employed,single,professional.course,no,yes,no,cellular,may,mon,922,4,0,no,failure,1.8,160,46.2,1,5099.1,1
age:30-60,blue-collar,married,basic.6y,no,yes,no,cellular,jul,wed,111,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,basic.9y,no,yes,no,cellular,oct,tue,1573,2,0,yes,failure,3.4,156,26.9,0,5017.5,0
age:30-60,services,divorced,high.school,no,no,no,telephone,jun,tue,115,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,single,university.degree,no,no,no,cellular,jun,fri,151,2,0,no,failure,2.9,161,40.8,1,5076.2,0
age:not30-60,admin.,single,university.degree,yes,no,no,cellular,aug,fri,521,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,no,yes,no,telephone,jun,thu,211,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,divorced,unknown,yes,no,no,cellular,jul,wed,339,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,retired,married,professional.course,no,no,no,cellular,oct,thu,181,1,6,yes,success,3.4,156,26.9,0,5017.5,1
age:30-60,admin.,single,university.degree,no,yes,no,cellular,aug,thu,189,11,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,admin.,single,university.degree,no,yes,no,telephone,may,fri,122,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,services,married,basic.9y,no,no,no,cellular,may,tue,344,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,blue-collar,married,basic.9y,no,no,yes,telephone,jun,wed,151,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,high.school,no,yes,no,cellular,jul,fri,45,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,basic.9y,no,yes,yes,telephone,may,thu,254,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,admin.,single,high.school,yes,yes,yes,cellular,jul,thu,493,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,unemployed,married,basic.6y,yes,no,no,cellular,jul,wed,72,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,unemployed,single,basic.9y,no,yes,no,telephone,jun,mon,144,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,married,professional.course,no,no,no,cellular,jul,wed,495,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,university.degree,no,yes,no,telephone,may,thu,744,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,married,high.school,no,no,no,telephone,may,mon,962,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,university.degree,no,no,no,telephone,jun,thu,82,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,married,university.degree,no,no,yes,telephone,jun,tue,544,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,divorced,unknown,yes,yes,no,cellular,jul,mon,341,12,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,single,university.degree,no,yes,no,cellular,mar,tue,371,1,0,yes,failure,1.8,165,34.8,0,5008.7,0
age:30-60,entrepreneur,married,high.school,yes,yes,no,telephone,may,fri,314,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,divorced,university.degree,no,yes,no,cellular,jul,fri,317,6,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,housemaid,single,professional.course,no,no,no,cellular,apr,mon,147,1,6,yes,success,1.8,169,34.6,0,5008.7,0
age:30-60,admin.,divorced,high.school,no,yes,no,telephone,may,tue,196,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,management,divorced,university.degree,no,yes,no,cellular,jul,fri,215,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,admin.,single,university.degree,no,no,no,cellular,dec,fri,1139,2,4,yes,success,3.0,159,33.0,0,5023.5,0
age:30-60,technician,divorced,professional.course,no,no,no,telephone,may,wed,91,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,single,basic.9y,no,yes,no,telephone,may,fri,322,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,services,single,high.school,no,yes,no,cellular,jul,wed,99,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,divorced,professional.course,yes,yes,no,cellular,aug,wed,87,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,admin.,single,high.school,no,yes,no,cellular,aug,tue,168,2,0,no,failure,1.7,172,38.3,0,4991.6,0
age:30-60,management,single,university.degree,no,yes,yes,cellular,nov,thu,292,2,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,single,university.degree,no,no,no,cellular,jul,thu,480,4,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,married,professional.course,no,yes,no,cellular,nov,mon,545,2,0,no,failure,1.1,179,50.8,1,4963.6,1
age:30-60,housemaid,married,basic.4y,no,no,no,cellular,aug,mon,343,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,management,single,high.school,no,no,no,cellular,may,wed,90,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,self-employed,married,professional.course,no,yes,no,telephone,aug,wed,116,5,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:not30-60,retired,married,professional.course,no,no,no,cellular,dec,mon,83,4,0,no,failure,3.0,159,33.0,0,5023.5,0
age:30-60,admin.,single,university.degree,no,yes,no,cellular,aug,wed,218,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,unknown,married,unknown,yes,no,yes,telephone,jun,thu,91,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,services,married,high.school,yes,yes,no,telephone,jun,tue,146,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,entrepreneur,single,basic.4y,no,no,no,cellular,jun,tue,166,1,0,no,failure,2.9,161,40.8,1,5076.2,0
age:30-60,blue-collar,married,basic.4y,yes,yes,no,telephone,may,wed,411,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,student,single,unknown,no,no,no,cellular,aug,tue,192,1,0,yes,failure,1.7,172,38.3,0,4991.6,0
age:not30-60,admin.,single,high.school,no,yes,no,telephone,may,tue,1052,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,divorced,basic.6y,yes,no,no,cellular,may,wed,101,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,295,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,unknown,no,no,no,cellular,apr,thu,1174,1,0,no,failure,1.8,162,47.1,1,5099.1,1
age:30-60,admin.,married,high.school,no,yes,yes,telephone,may,mon,286,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,divorced,basic.9y,no,no,yes,cellular,may,mon,639,2,0,no,failure,1.8,160,46.2,1,5099.1,1
age:not30-60,student,single,high.school,no,no,no,cellular,aug,fri,482,2,0,no,failure,2.9,154,31.4,0,5076.2,0
age:not30-60,admin.,single,high.school,no,yes,no,telephone,nov,fri,24,1,0,no,failure,0.1,164,42.0,3,5195.8,0
age:30-60,admin.,married,university.degree,no,yes,yes,cellular,apr,thu,214,1,0,no,failure,1.8,169,34.6,0,5008.7,1
age:30-60,technician,single,professional.course,no,yes,no,cellular,jul,tue,64,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,basic.6y,yes,yes,no,telephone,may,mon,215,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,professional.course,no,no,no,cellular,aug,wed,96,1,0,yes,failure,2.9,154,31.4,0,5076.2,0
age:30-60,technician,single,high.school,no,yes,no,cellular,jul,fri,270,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,student,single,high.school,no,yes,yes,cellular,nov,thu,289,1,3,yes,success,1.1,179,50.8,1,4963.6,1
age:30-60,services,single,high.school,no,no,no,telephone,may,mon,456,6,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,housemaid,single,professional.course,yes,yes,yes,cellular,aug,tue,213,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,self-employed,married,basic.9y,no,yes,no,cellular,aug,fri,78,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,no,yes,cellular,jul,tue,215,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,university.degree,no,yes,no,cellular,aug,mon,179,3,4,yes,success,2.9,154,31.4,0,5076.2,1
age:30-60,admin.,single,university.degree,no,no,yes,cellular,apr,thu,586,2,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,single,basic.6y,yes,yes,no,cellular,may,fri,261,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,services,married,basic.6y,yes,yes,no,telephone,nov,tue,162,2,0,no,failure,0.1,164,42.0,4,5195.8,0
age:not30-60,student,single,basic.4y,no,no,yes,cellular,apr,wed,371,2,0,no,failure,1.8,162,47.1,1,5099.1,1
age:30-60,blue-collar,single,professional.course,no,no,no,cellular,aug,wed,94,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,single,basic.9y,yes,no,no,cellular,may,wed,785,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,management,married,university.degree,no,no,no,telephone,may,mon,461,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,self-employed,married,professional.course,no,yes,no,cellular,mar,thu,171,4,0,yes,failure,1.8,165,34.8,0,5008.7,1
age:30-60,admin.,divorced,university.degree,no,no,no,cellular,may,mon,239,3,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,married,professional.course,no,no,no,telephone,may,mon,157,5,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,divorced,basic.4y,no,no,no,telephone,jun,wed,120,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,housemaid,married,basic.4y,yes,no,no,cellular,aug,tue,77,6,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,divorced,basic.6y,no,yes,no,cellular,jul,mon,120,4,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,services,married,high.school,yes,yes,no,cellular,aug,tue,209,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:not30-60,services,divorced,high.school,no,no,yes,telephone,may,mon,251,11,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,entrepreneur,married,high.school,no,no,no,telephone,may,thu,325,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,married,university.degree,no,yes,no,cellular,mar,thu,71,3,0,no,failure,1.8,160,50.0,1,5099.1,0
age:not30-60,blue-collar,single,basic.4y,yes,yes,no,telephone,jul,thu,160,3,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,management,married,basic.9y,yes,no,no,telephone,may,tue,427,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,single,basic.9y,no,no,no,cellular,nov,thu,106,2,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,single,university.degree,no,no,no,cellular,apr,thu,657,1,0,no,failure,1.8,162,47.1,1,5099.1,1
age:30-60,services,married,high.school,yes,yes,no,telephone,may,mon,679,2,0,no,failure,0.00011,171,36.4,4,5191.0,1
age:30-60,management,married,unknown,no,yes,no,cellular,nov,thu,121,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,retired,married,basic.4y,yes,no,no,telephone,jul,fri,150,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,entrepreneur,married,university.degree,no,yes,no,cellular,nov,thu,57,3,0,no,failure,0.1,164,42.0,4,5195.8,0
