age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,subscribed
age:not30-60,management,single,university.degree,no,yes,no,cellular,may,thu,667,1,0,no,failure,1.8,160,46.2,1,5099.1,1
age:30-60,admin.,married,university.degree,no,yes,no,telephone,jun,thu,36,3,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,divorced,high.school,no,yes,no,cellular,jul,tue,658,2,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,entrepreneur,married,university.degree,no,no,no,telephone,may,thu,71,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,single,high.school,no,yes,no,telephone,jul,fri,105,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,university.degree,no,no,no,telephone,jun,thu,148,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,student,divorced,university.degree,no,yes,no,cellular,nov,thu,48,2,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,blue-collar,married,basic.6y,no,no,no,telephone,may,wed,104,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,professional.course,no,yes,no,cellular,nov,tue,139,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,management,married,university.degree,no,yes,yes,telephone,may,fri,107,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,self-employed,married,professional.course,no,no,no,cellular,aug,fri,179,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:not30-60,student,single,high.school,no,no,no,cellular,may,mon,123,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,retired,married,professional.course,no,yes,no,telephone,jun,tue,77,8,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,services,divorced,basic.6y,yes,yes,no,cellular,may,wed,24,2,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,married,high.school,no,yes,no,cellular,may,wed,346,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,married,high.school,no,yes,no,cellular,apr,mon,178,5,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,services,married,professional.course,no,no,no,cellular,nov,wed,84,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,technician,married,professional.course,no,no,yes,cellular,aug,tue,587,1,0,no,failure,0.00014,166,36.1,4,5228.1,1
age:30-60,blue-collar,married,basic.4y,yes,no,yes,telephone,jun,tue,65,2,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,technician,single,unknown,no,no,no,cellular,jul,fri,337,2,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,services,married,high.school,no,no,yes,cellular,jun,wed,479,2,6,yes,success,1.7,172,39.8,0,4991.6,1
age:30-60,services,divorced,high.school,no,yes,no,cellular,jul,mon,226,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,no,no,cellular,aug,tue,373,2,0,no,failure,2.9,154,31.4,0,5076.2,0
age:not30-60,services,married,high.school,no,no,yes,cellular,jul,tue,378,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,technician,single,university.degree,no,no,no,telephone,jun,thu,73,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,no,no,no,telephone,may,thu,98,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,basic.9y,no,no,no,cellular,aug,mon,213,1,0,no,failure,2.9,154,31.4,0,5076.2,1
age:not30-60,student,single,basic.9y,no,no,no,cellular,oct,fri,221,2,6,yes,success,3.4,156,26.9,0,5017.5,1
age:30-60,management,married,university.degree,no,yes,no,cellular,nov,tue,283,2,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,housemaid,married,basic.9y,no,no,no,cellular,aug,wed,88,3,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:not30-60,admin.,single,university.degree,no,yes,yes,cellular,may,mon,80,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,single,university.degree,no,no,no,cellular,jul,tue,149,4,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,unemployed,married,basic.9y,no,yes,yes,cellular,may,thu,217,2,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,married,university.degree,no,no,no,cellular,nov,thu,358,1,0,yes,failure,0.1,164,42.0,4,5195.8,0
age:not30-60,unemployed,married,university.degree,no,yes,no,telephone,jun,mon,266,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,married,university.degree,no,yes,no,telephone,aug,thu,365,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,technician,single,university.degree,yes,yes,no,cellular,aug,thu,95,1,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,yes,no,no,telephone,jun,wed,23,7,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,divorced,university.degree,yes,yes,yes,telephone,may,tue,273,1,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,married,university.degree,yes,no,no,telephone,may,fri,255,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,blue-collar,married,basic.4y,no,no,no,cellular,may,mon,284,3,0,no,failure,1.8,160,46.2,1,5099.1,0
age:30-60,admin.,married,basic.9y,no,yes,no,cellular,apr,wed,431,2,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,blue-collar,married,unknown,no,yes,no,telephone,may,tue,112,3,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,technician,married,university.degree,no,no,yes,telephone,jun,mon,69,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,single,basic.9y,no,no,no,telephone,may,wed,80,1,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,self-employed,married,university.degree,no,yes,no,telephone,jul,thu,30,6,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,married,university.degree,no,yes,no,cellular,apr,wed,623,1,6,yes,success,1.8,169,34.6,0,5008.7,1
age:30-60,technician,married,professional.course,no,yes,no,telephone,may,thu,237,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,admin.,married,basic.6y,no,yes,no,cellular,oct,tue,115,2,5,yes,success,3.4,156,26.9,0,5017.5,0
age:30-60,admin.,single,university.degree,no,no,no,cellular,may,tue,144,5,0,yes,failure,1.8,160,46.2,1,5099.1,0
age:30-60,technician,married,professional.course,no,yes,no,cellular,aug,mon,97,4,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,single,unknown,yes,yes,no,telephone,jun,fri,8,7,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,blue-collar,married,basic.4y,yes,no,no,telephone,jun,fri,94,1,0,no,failure,0.00014,176,41.8,4,5228.1,0
age:30-60,admin.,married,university.degree,yes,yes,yes,cellular,aug,mon,243,2,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,blue-collar,married,basic.9y,no,no,no,telephone,may,tue,102,2,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:not30-60,student,single,basic.9y,no,no,no,cellular,sep,tue,137,1,0,no,failure,3.4,155,29.8,0,5017.5,1
age:not30-60,entrepreneur,single,basic.9y,no,no,no,cellular,jul,fri,130,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,management,married,high.school,no,no,no,telephone,nov,wed,47,1,0,no,failure,0.1,164,42.0,4,5195.8,0
age:30-60,admin.,married,university.degree,no,no,yes,cellular,apr,thu,206,1,0,no,failure,1.8,162,47.1,1,5099.1,0
age:30-60,admin.,single,university.degree,no,no,no,cellular,may,mon,21,1,0,no,failure,1.8,160,46.2,1,5099.1,0
age:not30-60,admin.,single,high.school,no,no,no,cellular,may,mon,610,2,0,no,failure,1.8,160,46.2,1,5099.1,1
age:30-60,admin.,married,university.degree,no,no,no,cellular,aug,wed,21,5,0,no,failure,0.00014,166,36.1,4,5228.1,0
age:30-60,management,married,university.degree,no,no,no,telephone,may,mon,100,8,0,no,failure,0.00011,171,36.4,4,5191.0,0
age:30-60,entrepreneur,married,university.degree,no,yes,no,cellular,jul,thu,207,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:30-60,admin.,divorced,high.school,yes,no,yes,cellular,jul,mon,630,3,0,no,failure,0.00014,171,42.7,4,5228.1,1
age:30-60,management,married,university.degree,no,no,no,cellular,jul,thu,91,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
age:not30-60,services,married,high.school,no,no,no,cellular,jul,tue,161,1,0,no,failure,0.00014,171,42.7,4,5228.1,0
