LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT_PAYEMENT
20000.0,Male,High_school,Single,35,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,17365.0,19001.0,20269.0,18654.0,18914.0,20200.0,2618.0,2276.0,791.0,686.0,1600.0,0.0,0
290000.0,Female,Graduate_school,Single,29,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,578.0,7124.0,7620.0,0.0,4788.0,0.0,7129.0,7620.0,0.0,4788.0,0.0,7026.0,0
230000.0,Female,University,Married,37,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,126251.0,128542.0,122493.0,124743.0,127507.0,121400.0,4500.0,4600.0,4389.0,4697.0,4800.0,4000.0,0
90000.0,Female,University,Single,25,Pay_delay>=1,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,Pay_duly,41757.0,42797.0,41814.0,42813.0,43571.0,46350.0,2001.0,0.0,2000.0,1600.0,3500.0,0.0,1
70000.0,Male,High_school,Married,54,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,64527.0,59996.0,57417.0,54558.0,58968.0,63456.0,2519.0,5015.0,4000.0,5950.0,6000.0,2507.0,0
500000.0,Female,Graduate_school,Single,35,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,113466.0,116857.0,116402.0,95244.0,68182.0,60153.0,12197.0,15263.0,4672.0,0.0,1296.0,54.0,0
230000.0,Female,Graduate_school,Married,32,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,2774.0,0.0,0.0,0.0,0.0,5347.0,0.0,0.0,0.0,0.0,5347.0,0.0,0
300000.0,Female,University,Single,31,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,188.0,188.0,585.0,207.0,0.0,0.0,188.0,585.0,207.0,0.0,0.0,378.0,0
20000.0,Female,Graduate_school,Single,26,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,18362.0,19669.0,16479.0,16694.0,17334.0,17063.0,1640.0,1506.0,721.0,1000.0,1000.0,600.0,0
180000.0,Female,University,Married,36,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,21494.0,25600.0,0.0,0.0,36565.0,37353.0,5000.0,0.0,0.0,36565.0,1548.0,1000.0,0
20000.0,Male,University,Single,26,Pay_duly,Pay_duly,Pay_delay>=1,Pay_delay>=1,Pay_duly,Pay_duly,15481.0,18004.0,19121.0,18521.0,18615.0,19015.0,3100.0,1700.0,0.0,700.0,700.0,860.0,1
220000.0,Male,University,Married,32,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,Pay_duly,202010.0,103124.0,105226.0,107476.0,109746.0,111920.0,3746.0,3820.0,4000.0,4000.0,4000.0,4500.0,0
